state,no_type,1st Booster,1st Dose,2nd Booster,2nd Dose
Johor,no_vax,2145868,3351871,54457,3296758
Johor,no_pop,3794200,3794200,3794200,3794200
Kedah,no_vax,751054,1697643,10083,1664767
Kedah,no_pop,2193600,2193600,2193600,2193600
Kelantan,no_vax,339414,1252890,2977,1226370
Kelantan,no_pop,1928900,1928900,1928900,1928900
Kuala Lumpur,no_vax,1738340,3249689,118101,3167939
Kuala Lumpur,no_pop,1746600,1746600,1746600,1746600
Labuan,no_vax,50063,89623,548,85285
Labuan,no_pop,100100,100100,100100,100100
Melaka,no_vax,547052,795107,15798,781172
Melaka,no_pop,937800,937800,937800,937800
Negeri Sembilan,no_vax,662028,1032800,18808,1017170
Negeri Sembilan,no_pop,1128900,1128900,1128900,1128900
Pahang,no_vax,631832,1280074,11837,1253440
Pahang,no_pop,1684700,1684700,1684700,1684700
Penang,no_vax,1084667,1634558,20647,1613112
Penang,no_pop,1774200,1774200,1774200,1774200
Perak,no_vax,1170122,2024519,32688,1981748
Perak,no_pop,2509000,2509000,2509000,2509000
Perlis,no_vax,79768,217121,648,213575
Perlis,no_pop,255500,255500,255500,255500
Putrajaya,no_vax,84552,166248,3053,165234
Putrajaya,no_pop,116100,116100,116100,116100
Sabah,no_vax,934679,2614185,15236,2525123
Sabah,no_pop,3832500,3832500,3832500,3832500
Sarawak,no_vax,1582713,2506918,46113,2429036
Sarawak,no_pop,2824700,2824700,2824700,2824700
Selangor,no_vax,4079360,5254041,153480,5171952
Selangor,no_pop,6555100,6555100,6555100,6555100
Terengganu,no_vax,357901,936216,3163,918394
Terengganu,no_pop,1275200,1275200,1275200,1275200
