state,pop,no_type3,1st Booster,percentage3,vax_dose3,pop2
Johor,3794200,Done3,2145868,0.565565337,1st Booster,1897100
Johor,3794200,Not Done3,1648332,0.565565337,1st Booster,1897100
Kedah,2193600,Not Done3,1442546,0.342384209,1st Booster,1096800
Kedah,2193600,Done3,751054,0.342384209,1st Booster,1096800
Kelantan,1928900,Not Done3,1589486,0.175962466,1st Booster,964450
Kelantan,1928900,Done3,339414,0.175962466,1st Booster,964450
Kuala Lumpur,1746600,Done3,1738340,0.995270812,1st Booster,873300
Kuala Lumpur,1746600,Not Done3,8260,0.995270812,1st Booster,873300
Labuan,100100,Done3,50063,0.50012987,1st Booster,50050
Labuan,100100,Not Done3,50037,0.50012987,1st Booster,50050
Melaka,937800,Done3,547052,0.583335466,1st Booster,468900
Melaka,937800,Not Done3,390748,0.583335466,1st Booster,468900
Negeri Sembilan,1128900,Done3,662028,0.586436354,1st Booster,564450
Negeri Sembilan,1128900,Not Done3,466872,0.586436354,1st Booster,564450
Pahang,1684700,Not Done3,1052868,0.375041254,1st Booster,842350
Pahang,1684700,Done3,631832,0.375041254,1st Booster,842350
Penang,1774200,Not Done3,689533,0.611355541,1st Booster,887100
Penang,1774200,Done3,1084667,0.611355541,1st Booster,887100
Perak,2509000,Not Done3,1338878,0.466369868,1st Booster,1254500
Perak,2509000,Done3,1170122,0.466369868,1st Booster,1254500
Perlis,255500,Done3,79768,0.312203523,1st Booster,127750
Perlis,255500,Not Done3,175732,0.312203523,1st Booster,127750
Putrajaya,116100,Done3,84552,0.728268734,1st Booster,58050
Putrajaya,116100,Not Done3,31548,0.728268734,1st Booster,58050
Sabah,3832500,Not Done3,2897821,0.243882322,1st Booster,1916250
Sabah,3832500,Done3,934679,0.243882322,1st Booster,1916250
Sarawak,2824700,Not Done3,1241987,0.560311892,1st Booster,1412350
Sarawak,2824700,Done3,1582713,0.560311892,1st Booster,1412350
Selangor,6555100,Not Done3,2475740,0.6223185,1st Booster,3277550
Selangor,6555100,Done3,4079360,0.6223185,1st Booster,3277550
Terengganu,1275200,Done3,357901,0.280662641,1st Booster,637600
Terengganu,1275200,Not Done3,917299,0.280662641,1st Booster,637600
