state,pop,no_type4,2nd Booster,percentage4,vax_dose4,pop2
Johor,3794200,Done4,54457,0.014352696,2nd Booster,1897100
Johor,3794200,Not Done4,3739743,0.014352696,2nd Booster,1897100
Kedah,2193600,Not Done4,2183517,0.004596554,2nd Booster,1096800
Kedah,2193600,Done4,10083,0.004596554,2nd Booster,1096800
Kelantan,1928900,Not Done4,1925923,0.001543367,2nd Booster,964450
Kelantan,1928900,Done4,2977,0.001543367,2nd Booster,964450
Kuala Lumpur,1746600,Done4,118101,0.067617657,2nd Booster,873300
Kuala Lumpur,1746600,Not Done4,1628499,0.067617657,2nd Booster,873300
Labuan,100100,Done4,548,0.005474525,2nd Booster,50050
Labuan,100100,Not Done4,99552,0.005474525,2nd Booster,50050
Melaka,937800,Done4,15798,0.016845809,2nd Booster,468900
Melaka,937800,Not Done4,922002,0.016845809,2nd Booster,468900
Negeri Sembilan,1128900,Done4,18808,0.016660466,2nd Booster,564450
Negeri Sembilan,1128900,Not Done4,1110092,0.016660466,2nd Booster,564450
Pahang,1684700,Not Done4,1672863,0.007026177,2nd Booster,842350
Pahang,1684700,Done4,11837,0.007026177,2nd Booster,842350
Penang,1774200,Not Done4,1753553,0.011637358,2nd Booster,887100
Penang,1774200,Done4,20647,0.011637358,2nd Booster,887100
Perak,2509000,Not Done4,2476312,0.013028298,2nd Booster,1254500
Perak,2509000,Done4,32688,0.013028298,2nd Booster,1254500
Perlis,255500,Done4,648,0.002536204,2nd Booster,127750
Perlis,255500,Not Done4,254852,0.002536204,2nd Booster,127750
Putrajaya,116100,Done4,3053,0.026296296,2nd Booster,58050
Putrajaya,116100,Not Done4,113047,0.026296296,2nd Booster,58050
Sabah,3832500,Not Done4,3817264,0.003975473,2nd Booster,1916250
Sabah,3832500,Done4,15236,0.003975473,2nd Booster,1916250
Sarawak,2824700,Not Done4,2778587,0.016324919,2nd Booster,1412350
Sarawak,2824700,Done4,46113,0.016324919,2nd Booster,1412350
Selangor,6555100,Not Done4,6401620,0.02341383,2nd Booster,3277550
Selangor,6555100,Done4,153480,0.02341383,2nd Booster,3277550
Terengganu,1275200,Done4,3163,0.002480395,2nd Booster,637600
Terengganu,1275200,Not Done4,1272037,0.002480395,2nd Booster,637600
