date,state,dose,daily_vac
2021-02-24,Johor,1st Dose,2
2021-02-24,Kedah,1st Dose,0
2021-02-24,Kelantan,1st Dose,1
2021-02-24,Melaka,1st Dose,0
2021-02-24,Negeri Sembilan,1st Dose,0
2021-02-24,Pahang,1st Dose,0
2021-02-24,Perak,1st Dose,0
2021-02-24,Perlis,1st Dose,0
2021-02-24,Penang,1st Dose,0
2021-02-24,Sabah,1st Dose,1
2021-02-24,Sarawak,1st Dose,1
2021-02-24,Selangor,1st Dose,0
2021-02-24,Terengganu,1st Dose,0
2021-02-24,Kuala Lumpur,1st Dose,41
2021-02-24,Labuan,1st Dose,0
2021-02-24,Putrajaya,1st Dose,20
2021-02-25,Johor,1st Dose,80
2021-02-25,Kedah,1st Dose,0
2021-02-25,Kelantan,1st Dose,0
2021-02-25,Melaka,1st Dose,0
2021-02-25,Negeri Sembilan,1st Dose,0
2021-02-25,Pahang,1st Dose,123
2021-02-25,Perak,1st Dose,296
2021-02-25,Perlis,1st Dose,0
2021-02-25,Penang,1st Dose,0
2021-02-25,Sabah,1st Dose,1
2021-02-25,Sarawak,1st Dose,2
2021-02-25,Selangor,1st Dose,43
2021-02-25,Terengganu,1st Dose,0
2021-02-25,Kuala Lumpur,1st Dose,547
2021-02-25,Labuan,1st Dose,2
2021-02-25,Putrajaya,1st Dose,55
2021-02-26,Johor,1st Dose,0
2021-02-26,Kedah,1st Dose,6
2021-02-26,Kelantan,1st Dose,0
2021-02-26,Melaka,1st Dose,259
2021-02-26,Negeri Sembilan,1st Dose,0
2021-02-26,Pahang,1st Dose,773
2021-02-26,Perak,1st Dose,564
2021-02-26,Perlis,1st Dose,156
2021-02-26,Penang,1st Dose,325
2021-02-26,Sabah,1st Dose,12
2021-02-26,Sarawak,1st Dose,1371
2021-02-26,Selangor,1st Dose,279
2021-02-26,Terengganu,1st Dose,11
2021-02-26,Kuala Lumpur,1st Dose,328
2021-02-26,Labuan,1st Dose,0
2021-02-26,Putrajaya,1st Dose,19
2021-02-27,Johor,1st Dose,3
2021-02-27,Kedah,1st Dose,36
2021-02-27,Kelantan,1st Dose,0
2021-02-27,Melaka,1st Dose,16
2021-02-27,Negeri Sembilan,1st Dose,0
2021-02-27,Pahang,1st Dose,1766
2021-02-27,Perak,1st Dose,242
2021-02-27,Perlis,1st Dose,3
2021-02-27,Penang,1st Dose,6
2021-02-27,Sabah,1st Dose,570
2021-02-27,Sarawak,1st Dose,3631
2021-02-27,Selangor,1st Dose,78
2021-02-27,Terengganu,1st Dose,1
2021-02-27,Kuala Lumpur,1st Dose,227
2021-02-27,Labuan,1st Dose,136
2021-02-27,Putrajaya,1st Dose,6
2021-02-28,Johor,1st Dose,829
2021-02-28,Kedah,1st Dose,785
2021-02-28,Kelantan,1st Dose,162
2021-02-28,Melaka,1st Dose,0
2021-02-28,Negeri Sembilan,1st Dose,0
2021-02-28,Pahang,1st Dose,100
