date,state,partial,full,booster,booster2
2021-02-24,Johor,2,0,0,0
2021-02-24,Kedah,0,0,0,0
2021-02-24,Kelantan,0,0,0,0
2021-02-24,Melaka,0,0,0,0
2021-02-24,Negeri Sembilan,0,0,0,0
2021-02-24,Pahang,0,0,0,0
2021-02-24,Perak,0,0,0,0
2021-02-24,Perlis,0,0,0,0
2021-02-24,Pulau Pinang,0,0,0,0
2021-02-24,Sabah,1,1,0,0
2021-02-24,Sarawak,1,1,0,0
2021-02-24,Selangor,0,0,0,0
2021-02-24,Terengganu,0,0,0,0
2021-02-24,W.P. Kuala Lumpur,41,0,0,0
2021-02-24,W.P. Labuan,0,0,0,0
2021-02-24,W.P. Putrajaya,19,0,0,0
2021-02-25,Johor,79,0,0,0
2021-02-25,Kedah,0,0,0,0
2021-02-25,Kelantan,0,0,0,0
2021-02-25,Melaka,0,0,0,0
2021-02-25,Negeri Sembilan,0,0,0,0
2021-02-25,Pahang,123,0,0,0
2021-02-25,Perak,296,0,0,0
2021-02-25,Perlis,0,0,0,0
2021-02-25,Pulau Pinang,0,0,0,0
2021-02-25,Sabah,1,0,0,0
2021-02-25,Sarawak,2,0,0,0
2021-02-25,Selangor,43,0,0,0
2021-02-25,Terengganu,0,0,0,0
2021-02-25,W.P. Kuala Lumpur,545,0,0,0
2021-02-25,W.P. Labuan,2,0,0,0
2021-02-25,W.P. Putrajaya,55,0,0,0
2021-02-26,Johor,0,0,0,0
2021-02-26,Kedah,6,0,0,0
2021-02-26,Kelantan,0,0,0,0
2021-02-26,Melaka,259,0,0,0
2021-02-26,Negeri Sembilan,0,0,0,0
2021-02-26,Pahang,770,0,0,0
2021-02-26,Perak,564,0,0,0
2021-02-26,Perlis,156,0,0,0
2021-02-26,Pulau Pinang,325,0,0,0
2021-02-26,Sabah,12,0,0,0
2021-02-26,Sarawak,1367,1,0,0
2021-02-26,Selangor,279,0,0,0
2021-02-26,Terengganu,11,0,0,0
2021-02-26,W.P. Kuala Lumpur,328,0,0,0
2021-02-26,W.P. Labuan,0,0,0,0
2021-02-26,W.P. Putrajaya,19,0,0,0
2021-02-27,Johor,0,0,0,0
2021-02-27,Kedah,36,1,0,0
2021-02-27,Kelantan,0,0,0,0
2021-02-27,Melaka,16,0,0,0
2021-02-27,Negeri Sembilan,0,1,0,0
2021-02-27,Pahang,1766,0,0,0
2021-02-27,Perak,242,2,0,0
2021-02-27,Perlis,3,0,0,0
2021-02-27,Pulau Pinang,6,0,0,0
2021-02-27,Sabah,570,0,0,0
2021-02-27,Sarawak,3613,1,0,0
2021-02-27,Selangor,78,0,0,0
2021-02-27,Terengganu,1,0,0,0
2021-02-27,W.P. Kuala Lumpur,224,0,0,0
2021-02-27,W.P. Labuan,134,0,0,0
2021-02-27,W.P. Putrajaya,6,0,0,0
2021-02-28,Johor,823,0,0,0
2021-02-28,Kedah,784,1,0,0
2021-02-28,Kelantan,162,0,0,0
2021-02-28,Melaka,0,0,0,0
2021-02-28,Negeri Sembilan,0,0,0,0
2021-02-28,Pahang,99,0,0,0
2021-02-28,Perak,129,0,0,0
2021-02-28,Perlis,0,0,0,0
2021-02-28,Pulau Pinang,12,0,0,0
2021-02-28,Sabah,467,0,0,0
2021-02-28,Sarawak,3176,2,0,0
2021-02-28,Selangor,67,2,0,0
2021-02-28,Terengganu,461,0,0,0
2021-02-28,W.P. Kuala Lumpur,150,0,0,0
2021-02-28,W.P. Labuan,360,0,0,0
2021-02-28,W.P. Putrajaya,1,0,0,0
2021-03-01,Johor,2144,0,0,0
2021-03-01,Kedah,1065,1,0,0
2021-03-01,Kelantan,1794,0,0,0
2021-03-01,Melaka,157,0,0,0
2021-03-01,Negeri Sembilan,585,0,0,0
2021-03-01,Pahang,1207,1,0,0
2021-03-01,Perak,1890,1,0,0
2021-03-01,Perlis,354,0,0,0
2021-03-01,Pulau Pinang,447,0,0,0
2021-03-01,Sabah,127,0,0,0
2021-03-01,Sarawak,1731,0,0,0
2021-03-01,Selangor,609,1,0,0
2021-03-01,Terengganu,0,0,0,0
2021-03-01,W.P. Kuala Lumpur,2362,0,0,0
2021-03-01,W.P. Labuan,451,0,0,0
2021-03-01,W.P. Putrajaya,440,0,0,0
2021-03-02,Johor,1481,0,0,0
2021-03-02,Kedah,1187,0,0,0
2021-03-02,Kelantan,2869,0,0,0
2021-03-02,Melaka,1085,0,0,0
2021-03-02,Negeri Sembilan,1325,0,0,0
2021-03-02,Pahang,2105,0,0,0
2021-03-02,Perak,2543,0,0,0
2021-03-02,Perlis,538,0,0,0
2021-03-02,Pulau Pinang,1042,0,0,0
